id,price
761140,4.99
643980,0.0
670290,0.0
767400,0.99
772540,3.99
774276,9.99
774277,18.99
774278,29.99
770380,10.99
768880,3.99
765320,2.99
773650,1.59
774271,14.99
773690,1.99
774279,59.99
768060,0.99
775880,2.99
775881,2.99
653960,4.99
282010,9.99
70,9.99
752360,1.99
766850,0.99
754360,8.99
716110,0.99
1640,6.99
1630,6.99
2400,9.99
759920,7.99
603280,10.99
753110,9.99
753100,9.99
764280,1.99
758550,0.99
3800,9.99
1520,9.99
2420,9.99
4000,9.99
4230,39.99
4900,0.0
2520,4.99
6200,4.99
6210,4.99
6300,19.99
2990,9.99
6220,7.49
6510,14.99
3980,9.99
1700,4.99
6310,9.99
3990,4.99
7610,9.99
7600,9.99
7620,4.99
2540,4.99
7650,4.99
8000,8.99
6550,19.99
8200,19.99
2290,4.99
8210,19.99
2280,4.99
9160,14.99
2300,4.99
2270,4.99
9010,4.99
9040,2.99
9000,2.99
3810,9.99
9030,2.99
2310,4.99
3230,4.99
9310,12.99
7670,19.99
4570,12.99
4580,12.99
4760,9.99
4770,4.99
50970,6.99
12130,9.99
12160,9.99
12150,9.99
7000,6.99
12140,9.99
17480,19.99
12500,9.99
12310,9.99
12510,9.99
12530,9.99
12520,9.99
8100,5.99
2780,7.99
9730,9.99
9710,9.99
9800,4.99
9760,2.99
2700,19.99
2710,2.99
13200,14.99
13250,9.99
13000,4.99
13560,9.99
13520,9.99
13240,9.99
13540,9.99
15210,9.99
16180,9.99
3520,4.99
15970,9.99
15950,9.99
15960,9.99
15900,9.99
15910,9.99
15930,9.99
15160,9.99
15920,9.99
15080,9.99
15200,9.99
15320,9.99
15240,9.99
8310,9.99
12600,9.99
8320,9.99
12590,9.99
12560,9.99
12540,9.99
11050,9.99
11040,9.99
19500,4.99
11260,7.99
19200,4.99
12360,19.99
15710,2.99
15700,2.99
8660,7.99
7770,4.99
7660,4.99
7760,4.99
20510,9.99
17330,19.99
17300,19.99
7730,4.99
20900,9.99
1530,9.99
8690,2.99
17120,2.49
16810,19.99
19830,9.99
21000,19.99
4460,9.99
17140,9.99
15390,9.99
21300,4.99
3050,4.99
15380,9.99
19800,9.99
15370,9.99
19930,19.99
15350,9.99
19810,9.99
3540,4.99
22000,9.99
2820,15.99
1230,0.0
18300,4.99
20200,19.99
12200,14.99
19900,9.99
11240,4.99
256522,4.99
275144,4.99
256521,4.99
222569,4.99
256535,4.99
256611,4.99
256576,4.99
9480,9.99
17470,19.99
12770,9.99
17410,19.99
18500,9.99
16450,14.99
15400,7.99
18600,9.99
11340,4.99
25830,9.99
23460,5.99
10600,2.99
21010,4.99
22180,9.99
13210,19.99
12640,9.99
27020,4.99
24740,19.99
26000,9.99
26006,1.25
26005,1.25
11330,4.99
27800,9.99
9850,14.99
3600,4.99
29580,19.99
29540,19.99
29560,19.99
29570,29.99
23700,14.99
16060,9.99
1930,9.99
18470,9.99
7510,9.99
22200,9.99
26007,1.25
25900,6.99
16200,9.99
7840,2.99
8890,4.99
8880,4.99
34500,14.99
1280,0.0
10150,19.99
12470,4.99
22330,14.99
22320,14.99
12440,4.99
32710,9.99
32740,9.99
12460,4.99
21980,9.99
31860,6.99
31900,6.99
31920,6.99
31930,6.99
35800,0.0
12690,9.99
31170,19.99
21660,19.99
6080,9.99
6010,5.99
6090,5.99
6060,9.99
32310,5.99
32330,19.99
32360,9.99
35300,12.99
35310,9.99
31980,6.99
10140,9.99
10100,19.99
10130,19.99
10110,19.99
1256,7.99
10120,9.99
33520,6.99
3610,4.99
21680,9.99
21670,9.99
21030,4.99
36000,4.99
32370,9.99
29180,9.99
38410,9.99
38420,9.99
38430,9.99
31180,19.99
37960,19.99
38000,9.99
37400,4.99
13570,9.99
11390,9.99
34420,4.99
43100,14.99
33730,9.99
35000,9.99
39392,19.99
39391,19.99
37600,2.99
24029,24.99
32140,9.99
31190,19.99
32770,19.99
208306,17.99
37300,9.99
208300,19.99
40300,9.99
35070,3.99
10606,9.99
40700,9.99
24840,9.99
24870,19.99
41500,14.99
24800,19.99
901735,19.99
42800,4.99
39560,9.99
39550,14.99
40330,9.99
40320,4.99
31200,19.99
3130,4.99
41100,4.99
39540,9.99
34640,9.99
34630,9.99
41000,14.99
40340,9.99
17450,19.99
37100,4.99
37500,1.99
42810,9.99
10180,19.99
32440,19.99
11450,4.99
12710,9.99
24790,14.99
29120,4.99
24810,19.99
41800,14.99
45300,9.99
41900,9.99
35420,0.0
32430,19.99
22370,19.99
41802,5.99
38080,9.99
38090,9.99
38100,9.99
38070,9.99
38210,1.99
45700,19.99
46410,9.99
38110,9.99
17570,0.0
38130,4.99
38160,9.99
38150,9.99
38120,4.99
38140,4.99
36300,6.99
36310,6.99
36320,6.99
37030,9.99
32450,19.99
44100,4.99
25960,0.99
46250,6.99
38180,9.99
10695,7.49
41050,9.99
24055,19.99
48700,19.99
39900,4.99
49900,4.99
42120,9.99
12220,19.99
45730,4.99
45400,0.99
49600,9.99
901399,19.99
43500,9.99
45302,4.99
40930,4.99
39640,4.99
39630,4.99
23150,1.99
50940,9.99
50920,9.99
34178,2.99
37340,6.99
37390,6.99
37310,6.99
37360,6.99
49000,6.99
37330,6.99
37320,6.99
37370,6.99
37380,6.99
19080,9.99
19030,14.99
49800,4.99
33650,4.99
901478,19.99
33660,4.99
34281,2.99
34272,2.99
34270,61.99
34276,2.99
34274,2.99
34275,2.99
34277,2.99
34273,2.99
34280,2.99
34282,2.99
34279,2.99
34010,14.99
22610,9.99
22440,4.99
18508,0.99
22430,4.99
22410,4.99
22420,4.99
630,0.0
22400,4.99
24780,19.99
33670,14.99
40420,4.99
34920,9.99
48136,3.99
46720,9.99
28000,9.99
39680,9.99
25962,0.99
24634,19.99
63900,4.99
50130,29.99
24075,4.99
47540,9.99
50510,9.99
25760,1.99
25763,1.99
25762,1.99
25764,2.99
42980,9.99
48800,19.99
22600,19.99
46770,14.99
65700,8.99
42960,19.99
25761,1.99
28010,5.99
28012,1.99
24640,19.99
28011,2.99
